116	452
113	440
110	425
106	410
103	394
100	377
97	360
93	343
90	326
86	309
82	293
78	277
73	261
68	244
63	228
58	211
52	193
46	174
40	155
34	135
28	114
22	92
17	70
11	48
5	27
-1	5
-6	-15
-12	-35
-17	-55
-23	-73
-28	-91
-33	-108
-38	-124
-44	-140
-49	-155
-54	-170
-59	-185
-64	-199
-69	-213
-74	-227
-78	-241
-83	-254
-88	-268
-92	-281
-96	-294
-100	-306
-103	-319
-106	-331
-109	-342
-112	-354
-114	-365
-116	-375
-117	-386
-119	-396
-120	-406
-122	-415
-123	-425
-125	-435
-126	-444
-128	-454
-130	-464
-132	-475
-135	-486
-138	-497
-141	-509
-144	-520
-147	-532
-150	-543
-153	-553
-156	-562
-159	-570
-162	-576
-164	-580
-166	-581
-168	-580
-169	-575
-169	-568
-169	-559
-169	-547
-168	-533
-166	-517
-164	-499
-162	-481
-159	-463
-156	-444
-153	-425
-149	-407
-145	-389
-141	-371
-136	-353
-132	-336
-127	-318
-122	-300
-117	-282
-112	-264
-107	-245
-103	-226
-98	-206
-93	-187
-88	-168
-84	-149
-79	-131
-75	-113
-71	-97
-68	-82
-64	-68
-60	-55
-57	-43
-54	-32
-50	-21
-47	-11
-43	-1
-40	8
-36	18
-32	28
-28	39
-24	50
-20	61
-16	73
-12	85
-8	98
-4	111
-0	125
3	138
7	152
10	165
14	178
18	192
22	204
27	217
31	230
37	242
42	255
48	268
53	281
59	294
64	307
70	320
74	333
79	346
83	358
86	370
89	381
92	391
95	400
97	407
99	414
101	419
103	424
105	427
107	430
110	432
112	435
115	437
118	439
121	441
124	443
127	445
129	448
131	450
133	453
135	456
136	459
137	462
138	464
139	467
139	469
139	471
140	473
140	474
140	475
141	476
142	477
143	478
144	479
145	481
146	482
147	483
147	485
148	486
148	486
148	486
147	485
146	482
145	476
144	468
142	458
140	444
138	427
137	408
135	385
133	360
131	334
128	306
126	277
123	248
119	219
116	191
111	164
106	138
101	114
95	91
89	70
83	49
76	30
70	11
63	-7
57	-24
51	-42
44	-59
38	-75
33	-92
27	-108
22	-123
17	-138
12	-152
7	-166
2	-178
-2	-190
-6	-201
-10	-212
-14	-222
-18	-232
-22	-241
-26	-250
-30	-260
-34	-270
-38	-280
-42	-291
-47	-303
-51	-315
-56	-327
-61	-340
-66	-354
-70	-367
-75	-381
-80	-395
-84	-409
-88	-422
-92	-435
-96	-447
-100	-459
-104	-470
-107	-480
-111	-490
-114	-499
-118	-508
-121	-517
-125	-526
-129	-535
-132	-544
-136	-553
-139	-563
-143	-573
-146	-583
-149	-594
-152	-604
-155	-614
-157	-622
-159	-629
-161	-635
-162	-638
-163	-638
-163	-636
-164	-630
-163	-622
-163	-611
-162	-598
-161	-582
-159	-565
-157	-546
-155	-527
-152	-508
-149	-488
-146	-469
-143	-450
-139	-432
-136	-414
-132	-397
-128	-380
-125	-362
-121	-345
-118	-328
-114	-310
-111	-292
-108	-274
-105	-255
-102	-236
-99	-218
-96	-199
-93	-180
-90	-162
-86	-145
-82	-128
-78	-111
-73	-95
-68	-80
-63	-64
-57	-49
-52	-33
-46	-17
-40	-1
-35	16
-29	33
-24	50
-19	68
-14	86
-9	104
-4	121
-0	138
4	153
8	168
12	181
16	193
20	204
23	213
27	222
31	229
35	236
39	242
44	249
48	255
52	262
57	270
61	278
65	287
69	297
73	308
76	318
80	329
82	340
85	351
87	361
90	371
92	380
94	388
96	396
99	404
102	410
105	417
109	424
113	430
117	437
122	444
126	451
131	458
135	465
138	472
142	478
144	484
147	488
148	492
149	495
149	497
148	497
148	496
146	494
145	490
143	486
141	479
139	471
137	462
135	451
133	438
131	424
129	407
127	389
124	370
122	349
118	328
115	305
111	283
107	260
102	237
97	214
92	192
87	170
81	149
76	128
71	108
66	89
61	70
57	51
53	33
49	15
45	-2
42	-18
39	-34
35	-49
31	-63
28	-77
24	-90
19	-102
14	-115
9	-127
4	-140
-1	-152
-7	-166
-13	-179
-19	-193
-24	-208
-30	-223
-36	-237
-41	-252
-46	-267
-51	-281
-56	-295
-61	-308
-65	-321
-69	-333
-73	-344
-76	-355
-80	-365
-83	-375
-87	-384
-90	-394
-94	-403
-97	-412
-101	-421
-105	-430
-108	-438
-112	-446
-115	-453
-119	-460
-121	-464
-123	-468
-125	-469
-126	-468
-126	-464
-126	-458
-125	-450
-124	-439
-122	-426
-120	-411
-118	-394
-115	-377
-112	-359
-110	-341
-107	-323
-105	-306
-102	-290
-99	-274
-97	-260
-94	-246
-91	-233
-89	-221
-86	-209
-83	-197
-81	-185
-78	-173
-75	-160
-73	-147
-70	-134
-67	-121
-65	-107
-62	-93
-60	-79
-57	-64
-54	-50
-51	-35
-48	-20
-44	-5
-41	9
-37	24
-33	38
-29	52
-24	66
-20	79
-16	92
-11	105
-6	117
-2	130
3	142
8	155
13	167
19	180
24	194
30	207
35	220
41	234
46	247
51	260
56	273
61	285
65	295
69	305
73	314
76	322
78	330
81	336
82	342
84	348
85	353
86	358
87	363
88	368
89	373
90	378
92	383
93	388
95	392
97	396
99	400
101	404
103	407
105	411
107	414
109	417
110	420
111	423
112	426
113	428
113	431
113	433
114	435
114	436
114	437
114	437
114	435
114	433
114	430
115	426
115	420
115	413
115	404
115	394
115	383
113	370
112	355
109	339
107	321
103	303
100	282
95	261
91	240
86	218
80	195
75	173
69	151
64	130
58	109
52	89
46	70
40	51
34	33
28	16
22	-0
16	-17
11	-32
5	-48
-1	-63
-7	-78
-12	-92
-18	-106
-24	-120
-29	-134
-35	-147
-40	-161
-45	-173
-51	-186
-56	-199
-60	-211
-65	-224
-69	-236
-72	-248
-75	-261
-78	-272
-80	-284
-82	-295
-84	-305
-85	-315
-86	-324
-88	-333
-89	-341
-91	-349
-93	-356
-95	-363
-98	-370
-100	-378
-103	-386
-107	-395
-110	-404
-113	-414
-117	-424
-120	-435
-123	-446
-125	-457
-128	-467
-130	-476
-131	-484
-133	-490
-134	-493
-134	-494
-135	-492
-135	-488
-135	-480
-134	-470
-134	-458
-133	-444
-132	-428
-131	-410
-129	-392
-128	-374
-126	-355
-124	-336
-121	-318
-118	-300
-115	-282
-111	-265
-106	-247
-102	-230
-97	-213
-92	-195
-87	-177
-82	-159
-76	-140
-72	-122
-67	-103
-62	-85
-58	-67
-54	-49
-50	-33
-47	-17
-43	-2
-40	12
-36	26
-33	38
-29	50
-25	62
-22	73
-18	85
-14	96
-10	107
-6	118
-1	129
3	141
7	152
11	164
15	175
18	187
22	199
25	211
29	223
32	235
35	247
38	258
41	270
44	281
47	292
50	303
53	314
57	324
60	335
64	345
68	356
72	366
76	376
80	386
84	396
88	405
91	414
94	422
97	430
99	436
101	442
103	446
105	449
106	451
107	453
108	453
108	453
108	452
109	450
109	448
109	445
108	441
108	436
107	430
105	422
104	413
102	401
100	389
98	374
96	358
93	340
90	321
87	301
84	281
81	260
77	239
74	218
70	197
66	177
63	158
59	139
55	122
51	104
47	88
44	72
40	56
36	42
32	27
28	13
24	-2
20	-16
16	-30
12	-45
7	-60
2	-75
-3	-91
-8	-107
-13	-124
-18	-141
-23	-158
-28	-176
-33	-193
-38	-211
-43	-228
-47	-245
-51	-262
-55	-278
-59	-294
-63	-309
-67	-323
-70	-336
-74	-349
-78	-362
-82	-374
-86	-385
-91	-396
-95	-407
-99	-418
-103	-428
-106	-439
-110	-449
-112	-460
-115	-470
-116	-480
-118	-490
-119	-500
-120	-508
-121	-516
-121	-521
-122	-525
-122	-527
-123	-527
-124	-524
-125	-519
-125	-511
-126	-501
-126	-489
-126	-476
-125	-460
-124	-444
-123	-427
-121	-410
-118	-392
-115	-375
-112	-357
-109	-340
-106	-324
-103	-307
-99	-291
-96	-275
-94	-260
-91	-244
-88	-229
-85	-214
-83	-200
-80	-185
-77	-171
-73	-157
-70	-144
-66	-130
-62	-117
-57	-104
-53	-90
-49	-77
-44	-63
-40	-48
-35	-33
-31	-17
-27	-0
-23	17
-19	35
-15	53
-11	71
-7	89
-3	107
1	124
5	141
9	156
14	171
18	184
22	196
26	207
30	218
33	227
37	237
41	246
44	254
48	263
51	272
54	282
57	291
60	301
63	311
66	321
69	331
72	341
75	351
78	360
81	369
84	378
87	386
90	394
93	401
96	408
99	415
102	422
104	429
107	436
110	443
113	450
116	456
119	463
121	469
124	475
126	480
128	484
130	487
131	489
132	491
133	492
134	492
134	492
134	492
133	491
133	491
133	491
132	491
132	491
131	491
130	491
130	491
129	490
129	488
128	485
127	480
125	474
124	465
122	455
119	442
116	428
113	412
109	394
105	374
101	354
97	333
93	311
89	290
86	268
82	247
79	226
76	206
73	186
71	166
68	147
65	129
62	110
59	91
55	72
51	53
46	33
41	12
35	-9
30	-30
24	-51
18	-73
12	-94
6	-116
-0	-137
-6	-157
-12	-177
-17	-196
-22	-214
-27	-232
-32	-249
-37	-265
-42	-280
-46	-294
-51	-308
-56	-322
-60	-335
-65	-347
-69	-359
-74	-371
-78	-382
-82	-393
-86	-404
-90	-414
-94	-424
-97	-434
-100	-444
-103	-453
-105	-463
-107	-472
-109	-481
-110	-490
-111	-498
-112	-506
-114	-514
-115	-522
-116	-528
-118	-535
-120	-540
-122	-544
-124	-547
-126	-548
-128	-548
-130	-546
-132	-542
-133	-537
-133	-529
-133	-520
-133	-509
-132	-496
-130	-483
-127	-468
-125	-452
-122	-436
-119	-420
-116	-403
-113	-387
-110	-371
-108	-355
-106	-339
-104	-323
-103	-308
-101	-293
-99	-278
-97	-263
-95	-248
-92	-233
-89	-218
-85	-203
-80	-187
-76	-171
-71	-154
-66	-137
-61	-120
-56	-103
-52	-85
-48	-68
-44	-52
-40	-36
-37	-20
-34	-6
-31	7
-28	20
-25	31
-23	41
-19	51
-16	60
-13	68
-10	77
-6	85
-3	94
1	103
4	112
8	122
11	133
15	143
18	154
21	165
25	176
28	187
31	197
35	207
38	216
41	225
44	233
47	242
51	249
54	257
57	265
61	273
64	282
68	291
72	300
76	310
80	320
83	330
87	340
91	351
94	361
97	370
99	379
101	387
103	393
104	399
105	404
106	407
107	410
107	412
108	414
109	415
109	416
110	417
112	418
113	419
114	421
115	422
116	425
117	427
118	430
119	433
119	437
120	440
120	443
120	446
120	449
120	452
119	454
119	455
119	456
118	456
117	455
117	453
116	449
115	445
114	439
114	432
113	424
112	415
112	404
111	392
111	379
110	364
110	348
108	331
107	313
105	294
103	273
101	252
98	230
94	206
90	183
86	158
81	134
76	109
71	85
66	61
61	38
56	15
50	-7
45	-28
40	-47
34	-66
29	-84
23	-100
18	-116
13	-131
7	-145
2	-159
-4	-172
-10	-184
-15	-197
-21	-209
-26	-222
-32	-234
-38	-247
-43	-259
-48	-272
-53	-284
-58	-297
-62	-309
-66	-322
-70	-334
-73	-345
-76	-356
-78	-367
-80	-377
-82	-386
-84	-395
-85	-404
-87	-413
-89	-421
-91	-430
-94	-440
-97	-450
-100	-461
-103	-472
-107	-484
-110	-496
-114	-508
-118	-520
-121	-531
-125	-541
-128	-551
-131	-558
-134	-563
-136	-566
-138	-567
-139	-565
-140	-561
-141	-554
-141	-545
-141	-533
-140	-520
-139	-506
-137	-490
-135	-474
-133	-457
-130	-440
-127	-422
-124	-405
-121	-388
-118	-371
-114	-354
-111	-337
-107	-320
-103	-303
-99	-285
-94	-268
-89	-250
-85	-231
-80	-213
-75	-195
-70	-177
-66	-159
-62	-142
-58	-126
-55	-110
-52	-95
-49	-81
-47	-68
-44	-56
-42	-44
-40	-33
-37	-22
-34	-11
-31	-0
-27	11
-24	23
-20	35
-16	47
-12	60
-9	73
-5	86
-2	99
1	112
4	125
6	138
9	150
12	162
15	173
18	183
21	193
25	203
30	213
34	222
39	231
45	241
50	251
56	262
61	273
66	285
72	297
76	310
81	322
84	335
88	347
90	358
93	369
95	378
96	387
97	394
99	400
100	405
101	409
102	412
104	415
105	417
107	419
109	421
110	422
112	424
114	426
116	428
118	429
119	431
120	433
121	435
122	437
122	438
123	439
123	441
123	442
123	443
123	444
123	445
123	446
123	447
123	448
124	449
124	450
124	449
125	448
125	446
125	442
125	436
124	428
124	418
122	405
120	390
118	372
115	352
112	330
109	305
105	280
101	253
97	225
93	198
88	170
83	143
78	117
73	92
68	68
63	45
58	23
53	1
47	-19
41	-39
35	-58
29	-76
23	-94
17	-112
11	-129
4	-146
-2	-162
-8	-178
-14	-193
-20	-208
-25	-222
-30	-236
-35	-249
-39	-261
-43	-274
-47	-285
-50	-297
-53	-308
-56	-318
-58	-329
-61	-339
-64	-350
-67	-360
-70	-371
-73	-382
-77	-393
-81	-404
-85	-416
-89	-428
-93	-440
-97	-452
-101	-463
-105	-475
-108	-486
-111	-496
-114	-506
-117	-515
-120	-524
-122	-533
-124	-541
-126	-550
-129	-558
-131	-565
-133	-573
-136	-580
-138	-587
-141	-593
-144	-597
-147	-600
-149	-601
-151	-600
-153	-597
-154	-591
-154	-583
-153	-572
-152	-558
-150	-543
-146	-526
-143	-507
-138	-487
-134	-467
-129	-446
-124	-426
-120	-406
-116	-386
-112	-368
-108	-350
-105	-333
-103	-318
-100	-303
-98	-289
-96	-276
-93	-263
-90	-251
-87	-239
-84	-227
-80	-214
-77	-201
-73	-188
-69	-175
-65	-161
-61	-146
-58	-131
-55	-116
-52	-101
-50	-86
-47	-70
-45	-55
-42	-40
-40	-26
-37	-12
-34	3
-30	17
-26	31
-21	45
-16	60
-11	75
-6	90
-0	105
5	121
11	137
16	152
21	167
26	182
30	196
34	209
38	221
41	232
44	242
46	251
49	259
51	267
54	274
56	281
58	288
61	295
63	303
66	311
69	319
71	328
74	337
76	347
79	356
81	365
82	374
84	382
85	390
86	397
87	404
88	410
89	416
90	421
91	426
93	431
95	436
97	440
99	445
101	450
104	455
106	459
108	462
109	464
110	465
110	463
110	459
109	453
107	444
105	433
102	419
99	402
95	383
92	362
89	339
85	315
82	291
78	266
75	241
72	217
68	193
65	169
61	147
57	125
52	103
48	83
42	62
